Country,Population,Area,Areami
Afghanistan,"29,835,392",0.25,250000
Albania,"2,994,667",0.011,11100
Algeria,"34,994,937",0.92,919590
Andorra,"84,825",0,181
Angola,"13,338,541",0.481,481351
Antigua and Barbuda,"87,884",0,171
Argentina,"41,769,726",1.068,1068296
Armenia,"2,967,975",0.012,11506
Australia,"21,766,711",2.968,2967893
Austria,"8,217,280",0.032,32382
Azerbaijan,"8,372,373",0.033,33436
"Bahamas, The","313,312",0.005,5382
Bahrain,"1,214,705",0,257
Bangladesh,"158,570,535",0.056,55598
Barbados,"286,705",0,166
Belarus,"9,577,552",0.08,80154
Belgium,"10,431,477",0.012,11787
Belize,"321,115",0.009,8867
Benin,"9,325,032",0.043,43483
Bhutan,"708,427",0.018,18147
Bolivia,"10,118,683",0.424,424162
Bosnia and Herzegovina,"4,622,163",0.02,19741
Botswana,"2,065,398",0.232,231803
Brazil,"203,429,773",3.286,3286470
Brunei,"401,890",0.002,2228
Bulgaria,"7,093,635",0.043,42822
Burkina Faso,"16,751,455",0.106,105869
Burundi,"10,216,190",0.011,10745
Cambodia,"14,701,717",0.07,69900
Cameroon,"19,711,291",0.184,183567
Canada,"34,030,589",3.855,3855081
Cape Verde,"516,100",0.002,1557
Central African Republic,"4,950,027",0.241,240534
Chad,"10,758,945",0.496,495752
Chile,"16,888,760",0.292,292258
China,"1,336,718,015",3.705,3705386
Colombia,"44,725,543",0.44,439733
Comoros,"794,683",0.001,838
"Congo, Democratic Republic of the","71,712,867",0.906,905563
"Congo, Republic of the","4,243,929",0.132,132046
Costa Rica,"4,576,562",0.02,19730
Cote d'Ivoire,"21,504,162",0.125,124502
Croatia,"4,483,804",0.022,21831
Cuba,"11,087,330",0.043,42803
Cyprus,"1,120,489",0.004,3571
Czech Republic,"10,190,213",0.03,30450
Denmark,"5,529,888",0.017,16639
Djibouti,"757,074",0.009,8880
Dominica,"72,969",0,291
Dominican Republic,"9,956,648",0.019,18815
Ecuador,"15,007,343",0.109,109483
Egypt,"82,079,636",0.387,386660
El Salvador,"6,071,774",0.008,8124
Equatorial Guinea,"668,225",0.011,10830
